FID,FULLNAME,Shape_Leng,Type,Shape_Le_1,Shape_Area
159,Woodward-7 Mile,848.71758414,Park,848.717584143,27177.114562
160,Roosevelt,606.28591623,Park,606.285916235,18874.9355898
161,Roosevelt,1150.12961534,Park,1150.12961534,45208.5639526
162,Delray,2979.63060891,Park,2979.63060891,487614.178652
163,Conner Playfield,7370.65132312,Park,7370.65132312,1012761.44504
164,Forman,2702.38193226,Park,2702.38193226,275361.10185
165,Roosevelt,1519.51093029,Park,1519.51093029,113784.489747
166,Martz,1715.18311668,Park,1715.18311668,123608.069039
167,Muliett,859.9528929,Park,859.952892906,38998.494232
168,Sanders-Colonial,3224.37186794,Park,3224.37186794,568412.834381
169,O'Brien,1019.74723309,Park,1019.74723309,63256.0927695
170,Hildale-Grixdale,469.69093298,Park,469.690932983,11605.3382174
171,Barolo,841.02860346,Park,841.028603461,44207.5041556
172,Coventry,1007.86850732,Park,1007.86850732,39959.8658334
173,Hyde,905.56229336,Park,905.562293365,33177.3795092
174,Penz,362.79628706,Park,362.796287067,5321.74883578
175,Kemeny,3996.94191768,Park,3996.94191768,953701.805126
176,Knudsen,1023.35574159,Park,1023.35574159,44309.0928904
177,Marruso,1941.67200705,Park,1941.67200705,234762.626475
178,Marx-Remington,839.88675315,Park,839.886753155,35981.1997373
179,Piwok,2076.22699086,Park,2076.22699086,215295.290932
180,Calimera,1838.71711372,Park,1838.71711372,193245.400825
181,Hawthorne,1399.68818675,Park,1399.68818675,69564.0039255
182,Dequindre-Grixdale,770.52792943,Park,770.527929437,31840.8692019
183,Josefiak,727.27312975,Park,727.273129751,29228.4793844
184,South District Service Yard,1067.02855147,Park,1067.02855147,60907.1826049
185,Cardoni-Dakota,439.88397733,Park,439.883977339,11994.2748564
186,Roseberry-Promenade,544.51426967,Park,544.514269674,17207.5969932
187,Dinning,677.67137208,Park,677.671372086,23567.1047767
188,Conner Parkway,864.37031266,Park,864.370312667,44233.6556085
189,Russell-Maderia,550.52405416,Park,550.524054162,18784.535945
190,Wiley,745.70756973,Park,745.707569739,29660.7532679
191,Sherwood,407.44321529,Park,407.443215294,9164.65037774
192,15th-Butternut,147.11142072,Park,147.111420723,1353.83811876
193,Cloverdale-Intervale,1313.12273447,Park,1313.12273447,57743.2704757
194,Nagel,2135.71911033,Park,2135.71911033,190826.571892
195,Maheras,6196.73882307,Park,6196.73882307,2050834.551
196,Louis,2757.77164397,Park,2757.77164397,461965.138776
197, ,505.64987818,Park,505.649878189,15970.2989416
198,St. Martins,1646.92719976,Park,1646.92719976,147951.553415
199,Victor-Riopelle,458.87590606,Park,458.875906065,12937.0451349
200, ,942.05838488,Park,942.058384886,44295.4728534
201,Lollo,545.42936057,Park,545.429360573,17269.8360606
202,Bradby,1620.43332624,Park,1620.43332624,125314.899706
203,Algonquin-Goethe,1115.76710487,Park,1115.76710487,53153.6516693
204,Intervale-Roselawn,1568.27186514,Park,1568.27186514,121770.906332
205,Bradby,259.8353464,Park,259.835346401,2990.64034833
206,Littlefield,3496.29117183,Park,3496.29117183,747351.175969
207,Manz,2260.1049826,Park,2260.1049826,320865.358773
208,Equipment Repair Shop / Van Antwer,1272.35023975,Park,1272.35023975,101043.906194
209,Cross,1175.25253877,Park,1175.25253877,71635.5329557
210,Chandler,13574.9134795,Park,13574.9134795,8945919.76067
211,Hammerberg,3682.25148193,Park,3682.25148193,632098.703886
212,Chandler,1517.92601377,Park,1517.92601377,121661.463182
213,Garfield,579.92721097,Park,579.927210974,18996.7956539
214,Belden-Santa Maria,499.97603181,Park,499.976031813,14981.9511914
215,Butzel,5283.21108787,Park,5283.21108787,1594297.93193
216,Egan-Wish,2708.31828633,Park,2708.31828633,447625.85261
217,16th-Forest,345.50085333,Park,345.500853331,7044.53038254
218,Northwest Activity Center,2513.37376735,Park,2513.37376735,386548.50205
219,Vermont-Alexandrine,356.48245799,Park,356.482457998,7073.04803284
220,Edmore-Marbud,1619.35924333,Park,1619.35924333,139731.671716
221,Antietam,100.24068568,Park,100.240685681,602.46707752
222,Gmeiner,3333.69523991,Park,3333.69523991,451877.453572
223,Kershcke,645.27497258,Park,645.274972584,24531.3695229
224,Lafayette Plassance,4138.09320788,Park,4138.09320788,571723.22598
225,Van Antwerp,3673.36097442,Park,3673.36097442,792679.075852
226,Lafayette Central,2330.3017426,Park,2330.3017426,274853.770885
227,Troester-Hayes,947.28889201,Park,947.288892013,51334.1167365
228,Wells,1982.65141001,Park,1982.65141001,163523.692008
229,Lafayette Entrance,1149.32467177,Park,1149.32467177,75079.0977409
230,Glenfield-Lannett,768.70285451,Park,768.702854513,29557.6772448
231,Hansen,1211.74866193,Park,1211.74866193,95491.6866971
232,Hardstein,1671.05954581,Park,1671.05954581,123940.807462
